inst_id,name,type,symbol,exch_id,ccy_id,alt_symbol,alt_exch_id,sector,group,put_call,expiry_date,und_inst_id,factor,strike,margin
0,EURUSD,CASH,EURUSD,IDEALPRO,USD,IB=EUR,,,,,,,,,
1,USDJPY,CASH,USDJPY,IDEALPRO,JPY,IB=USD,,,,,,,,,
2,VXX,STK,VXX,SMART,USD,IB=VXX
3,Google,STK,GOOG,SMART,USD,IB=GOOG
4,SPY,ETF,SPY,NYSEARCA,USD
5,SPX,IDX,SPX,CBOE,USD
6,VIX,IDX,VIX,CBOE,USD
7,XIV,ETF,XIV,NYSEARCA,USD
8,XLV,ETF,XLV,NYSEARCA,USD
